name,depth,description,quantity,#kits,#required,#available,#order,#ordered,package,datasheet,supplier,x,y,z,unit_price,bulk_price
Servo Motor,1,FT90R Digital Micro Continuous Rotation Servo,2,15,30,0,0,0,Loose,/boxes/control/,https://www.pololu.com/product/2817,100,70,15,,
Servo Wheel,1,Wheels (70x8mm) for servos,2,15,30,0,0,0,Loose,/boxes/control/,https://www.pololu.com/product/4925,100,70,15,,
Speaker,1,3 Watt 4 Ohm with Dupont 2.54 mm socket,2,15,30,0,0,0,Loose,/boxes/audio/_resources/datasheets/CQR0508.jpg,https://www.amazon.co.uk/dp/B09JJ28D6R,70,30,15,4.0,2.0
Speaker (Hi-Fi),1,3 Watt 4 Ohm with Dupont 2.54 mm socket (High Fidelity: 2831/3128),2,15,30,0,0,0,Loose,/boxes/audio/_resources/datasheets/3128_3W_4Ohm.jpg,https://www.amazon.co.uk/gp/product/B0D9QXW5FF,44,30,15,4.79,2.0
Stereo Plug Terminal,1,3.5 mm plug to screw terminal,2,15,30,0,0,0,Loose,/boxes/magnets/,https://www.amazon.co.uk/dp/B07MNYBFL9,40,20,15,,
USB SD Card IO,1,SD card reader/writer,1,15,15,0,0,0,Loose,/boxes/systems/,https://www.amazon.co.uk/Beikell-High-speed-Adapter-Supports-MMC-Compatible-Windows/dp/B07L9VT8YY,70,40,15,,
USB Sound Card,1,USB to 3.5 mm Audio out/in,1,15,15,0,0,0,Loose,/boxes/magnets/,https://www.amazon.co.uk/UGREEN-Headphone-Microphone-Raspberry-Ultrabook/dp/B01N905VOY,150,90,15,,
Velcro Patch,1,Velcro adhesive,1,15,15,0,0,0,Loose,/boxes/power/,,50,75,4,,
Magnet,1,Neodymium disc (8 mm x 3 mm),4,15,60,0,0,0,Magnets,/boxes/magnets/,https://uk.farnell.com/duratool/d01766/magnets-rare-earth-8-x-3mm-pk10/dp/1888095,20,20,5,,
NB3 Camera Mount,1,Custom laser cut mount for RPi camera,2,15,30,0,0,0,Mounts,/boxes/vision/NB3_camera_mount,VK,40,30,5,,
NB3 Cortex Mount,1,Custom laser cut holder for NPU,2,15,30,0,0,0,Mounts,/boxes/vision/NB3_cortex_mount,VK,75,65,5,,
Servo Mount,1,Mount for servo motor,2,15,30,0,0,0,Mounts,/boxes/robotics/,VK,30,15,5,,
Spacer,1,NB3 spacer 3 mm spacer for mounting ball caster,5,15,75,0,0,0,Mounts,/boxes/robotics/NB3_spacer,VK,25,25,5,,
Speaker Frame,1,Custom laser cut frame for speaker,2,15,30,0,0,0,Mounts,/boxes/audio/-,VK,75,50,5,2.0,1.0
Speaker Mount,1,Custom laser cut mount for speaker,2,15,30,0,0,0,Mounts,/boxes/audio/-,VK,75,20,5,2.0,1.0
Magnet Wire,1,Narrow gauge epoxy insulated (1 m),1,15,15,0,0,0,Passive,/boxes/magnets/,https://www.amazon.co.uk/Enameled-Magnet-Soldering-Winding-Enamelled/dp/B07N65LRVD,30,30,20,,
Photoresistor (LDR),1,Light-dependent resistor (GL5516 and GL5528),4,15,60,0,0,0,Passive,/boxes/sensors/,https://www.amazon.co.uk/Resistor-Dependent-Photoresistor-Sensitive-Sensors/dp/B08SC1M7V7,50,10,3,,
Piezo Buzzer,1,Piezoelectric speaker/transducer,1,15,15,0,0,0,Passive,/boxes/computers/_resources/datasheets/piezo_buzzer.pdf,https://uk.farnell.com/tdk/ps1240p02bt/piezoelectric-buzzer-4khz-70dba/dp/3267212,30,30,1,,
Potentiometer,1,2.2 k&Omega; variable resistor,2,15,30,0,0,0,Passive,/boxes/electrons/_resources/datasheets/pot_2k2.pdf,https://uk.farnell.com/bourns/3362p-1-222lf/trimmer-pot-2-2kohm-10-1turn-th/dp/2328599,5,5,3,,
Resistor (10k),1,10 k&Omega;/0.25 W,2,15,30,0,0,0,Passive,/boxes/electrons/_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-10k/res-10k-1-250mw-axial-metal-film/dp/9341110,50,2,2,,
Resistor (1k),1,1 k&Omega;/0.25 W,2,15,30,0,0,0,Passive,/boxes/electrons/_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-1k/res-1k-1-250mw-axial-metal-film/dp/9341102,50,2,2,,
Resistor (470),1,470 &Omega;/0.25 W,4,15,60,0,0,0,Passive,/boxes/electrons/_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-470r/res-470r-1-250mw-axial-metal-film/dp/9341943,50,2,2,,
Rubber feet,1,Adhesive rubber standoffs (1421T6CL),4,15,60,0,0,0,Passive,/boxes/electrons/_resources/datasheets/rubber_feet.pdf,https://uk.farnell.com/hammond/1421t6cl/feet-stick-on-pk24/dp/1876522,20,20,4,,
NB3 Power Board,1,Regulated DC-DC power supply (5 Volts - 4 Amps),1,15,15,0,0,0,Power,/boxes/power/NB3_power,VK,50,50,15,,
Power Cable,1,Custom 4 pin NB3 power connector cable,1,15,15,0,0,0,Power,/boxes/power/,VK,50,10,5,,
