name,depth,description,quantity,#kits,#required,#available,#order,#ordered,package,datasheet,supplier,x,y,z,unit_price,bulk_price
Caster,1,¾” metal ball caster,1,15,15,0,0,0,Loose,/boxes/robotics/https://www.pololu.com/product/955,https://www.pololu.com/product/955,70,50,20,3.95,3.08
Computer (RPi4),1,Raspberry Pi 4b with 2 GB RAM,1,15,15,0,0,0,Loose,/boxes/systems/_resources/datasheets/rpi4b.pdf,https://uk.farnell.com/raspberry-pi/rpi4-modbp-2gb/raspberry-pi-4-model-b-2gb/dp/3051886,95,70,26,42.852,42.852
DC Brushed Motor,1,6V Brushed DC motor,1,15,15,0,0,0,Loose,/boxes/motors/,https://www.amazon.co.uk/Gikfun-1V-6V-Hobby-Arduino-EK1894/dp/B07BHHP2BT,20,40,15,2.5,1.25
Heatsinks,1,Heatsinks for RPi 4b chips,1,15,15,0,0,0,Loose,/boxes/systems/_resources/datasheets/rpi4b_heatsinks.jpg,https://www.amazon.co.uk/gp/product/B07VRNT3HX,40,20,10,3.5,2.0
Jumper Kit,1,Kit of multi-length 22 AWG breadboard jumpers,1,15,15,0,0,0,Loose,/boxes/electrons/_resources/datasheets/jumper_kit.pdf,https://uk.farnell.com/multicomp/mc001810/hard-jumper-wire-22awg-140pc/dp/2770338,170,55,15,5.976,4.296
Microcontroller,1,Arduino Nano (rev.3),1,15,15,0,0,0,Loose,/boxes/computers/_resources/datasheets/arduino_nano_rev3.pdf,https://uk.farnell.com/arduino/a000005/arduino-nano-evaluation-board/dp/1848691,82,60,25,18.516,18.516
NB3 Body,1,NB3 robot base PCB,1,15,15,0,0,0,Loose,/boxes/electrons/NB3_body,VK,200,200,11,30.0,20.0
Periodic Table,1,Periodic Table business card,1,15,15,0,0,0,Loose,/boxes/atoms/card,VK,40,60,1,1.0,0.1
SD Card,1,16 GB micro SD card,1,15,15,0,0,0,Loose,/boxes/systems/_resources/datasheets/SanDisk-SDSQUAR-016G-GN6MA-datasheet.pdf,https://uk.farnell.com/integral/inmsdh16g-100v10/16gb-microsdhc-v10-uhs-i-u1/dp/3498606,100,50,3,5.652,5.652
Servo Motor,1,FT90R Digital Micro Continuous Rotation Servo,2,15,30,0,0,0,Loose,/boxes/control/,https://www.pololu.com/product/2817,100,70,15,8.95,5.0
Servo Wheel,1,Wheels (70x8mm) for servos,2,15,30,0,0,0,Loose,/boxes/control/,https://www.pololu.com/product/4925,100,70,15,3.5,2.5
Speaker,1,3 Watt 4 Ohm with Dupont 2.54 mm socket,1,15,15,0,0,0,Loose,/boxes/audio/_resources/datasheets/CQR0508.jpg,https://www.amazon.co.uk/dp/B09JJ28D6R,70,30,15,4.0,2.0
Speaker (Hi-Fi),1,3 Watt 4 Ohm with Dupont 2.54 mm socket (High Fidelity: 2831/3128),1,15,15,0,0,0,Loose,/boxes/audio/_resources/datasheets/3128_3W_4Ohm.jpg,https://www.amazon.co.uk/gp/product/B0D9QXW5FF,44,30,15,4.79,2.0
Stereo Plug Terminal,1,3.5 mm plug to screw terminal,2,15,30,0,0,0,Loose,/boxes/magnets/,https://www.amazon.co.uk/dp/B07MNYBFL9,40,20,15,2.0,1.0
USB SD Card IO,1,SD card reader/writer,1,15,15,0,0,0,Loose,/boxes/systems/,https://www.amazon.co.uk/Beikell-High-speed-Adapter-Supports-MMC-Compatible-Windows/dp/B07L9VT8YY,70,40,15,4.07,4.07
USB Sound Card,1,USB to 3.5 mm Audio out/in,1,15,15,0,0,0,Loose,/boxes/magnets/,https://www.amazon.co.uk/UGREEN-USB-C-3-5mm-Female-Adapter-dp-B08TR7LWQH/dp/B08TR7LWQH,150,90,15,8.98,8.98
Velcro Patch,1,Velcro adhesive,1,15,15,0,0,0,Loose,/boxes/power/,https://www.amazon.co.uk/50mmx100mm-Adhesive-Strips%EF%BC%8CExtra-Mounting-Organizing/dp/B0CKVNM69R,50,75,4,2.0,0.5
Magnet,1,Neodymium disc (8 mm x 3 mm),4,15,60,0,0,0,Magnets,/boxes/magnets/,https://uk.farnell.com/duratool/d01766/magnets-rare-earth-8-x-3mm-pk10/dp/1888095,20,20,5,0.5136,0.4416
NB3 Camera Mount,1,Custom laser cut mount for RPi camera,1,15,15,0,0,0,Mounts,/boxes/vision/NB3_camera_mount,VK,40,30,5,3.0,1.0
NB3 Cortex Mount,1,Custom laser cut holder for NPU,1,15,15,0,0,0,Mounts,/boxes/vision/NB3_cortex_mount,VK,75,65,5,4.0,2.0
Servo Mount,1,Mount for servo motor,2,15,30,0,0,0,Mounts,/boxes/robotics/,VK,30,15,5,2.0,0.75
Spacer,1,NB3 spacer 3 mm spacer for mounting ball caster,5,15,75,0,0,0,Mounts,/boxes/robotics/NB3_spacer,VK,25,25,5,0.5,0.25
Speaker Frame,1,Custom laser cut frame for speaker,1,15,15,0,0,0,Mounts,/boxes/audio/-,VK,75,50,5,3.0,1.0
Speaker Mount,1,Custom laser cut mount for speaker,1,15,15,0,0,0,Mounts,/boxes/audio/-,VK,75,20,5,3.0,1.0
Magnet Wire,1,Narrow gauge epoxy insulated (1 m),1,15,15,0,0,0,Passive,/boxes/magnets/,https://www.amazon.co.uk/sourcing-map-Enameled-Transformers-Inductors/dp/B0CYP8L4L1,30,30,20,12.59,0.1259
Photoresistor (LDR),1,Light-dependent resistor (GL5516 and GL5528),4,15,60,0,0,0,Passive,/boxes/sensors/,https://uk.farnell.com/advanced-photonix/nsl-19m51/light-dependent-resistor-550nm/dp/3168335,50,10,3,1.14,0.7584
Piezo Buzzer,1,Piezoelectric speaker/transducer,1,15,15,0,0,0,Passive,/boxes/computers/_resources/datasheets/piezo_buzzer.pdf,https://uk.farnell.com/tdk/ps1240p02bt/piezoelectric-buzzer-4khz-70dba/dp/3267212,30,30,1,0.4296,0.3576
Potentiometer,1,2.2 k&Omega; variable resistor,2,15,30,0,0,0,Passive,/boxes/electrons/_resources/datasheets/pot_2k2.pdf,https://uk.farnell.com/bourns/3362p-1-222lf/trimmer-pot-2-2kohm-10-1turn-th/dp/2328599,5,5,3,0.9708,0.72
Resistor (10k),1,10 k&Omega;/0.25 W,2,15,30,0,0,0,Passive,/boxes/electrons/_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-10k/res-10k-1-250mw-axial-metal-film/dp/9341110,50,2,2,0.0696,0.0504
Resistor (1k),1,1 k&Omega;/0.25 W,2,15,30,0,0,0,Passive,/boxes/electrons/_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-1k/res-1k-1-250mw-axial-metal-film/dp/9341102,50,2,2,0.0702,0.051
Resistor (470),1,470 &Omega;/0.25 W,4,15,60,0,0,0,Passive,/boxes/electrons/_resources/datasheets/resistor.pdf,https://uk.farnell.com/multicomp/mf25-470r/res-470r-1-250mw-axial-metal-film/dp/9341943,50,2,2,0.0685,0.0498
Rubber feet,1,Adhesive rubber standoffs (1421T6CL),4,15,60,0,0,0,Passive,/boxes/electrons/_resources/datasheets/rubber_feet.pdf,https://uk.farnell.com/hammond/1421t6cl/feet-stick-on-pk24/dp/1876522,20,20,4,0.2965,0.229
NB3 Power Board,1,Regulated DC-DC power supply (5 Volts - 4 Amps),1,15,15,0,0,0,Power,/boxes/power/NB3_power,VK,50,50,15,30.0,20.0
Power Cable,1,Custom 4 pin NB3 power connector cable,1,15,15,0,0,0,Power,/boxes/power/,VK,50,10,5,5.0,3.0
